text,predicted_seniority
"Pensionskundechef / Account Executive - Global Employee Benefits, Corporate Pension at Söderberg & Partners Danmark",Professional
Principal Advisor at European Investment Bank (EIB),Senior
Senior Manager at PwC; Manager at PwC,Senior
Geschäftsführender Gesellschafter at South West Vision GmbH; Founder & CEO Investments at KooVoo GmbH; Geschäftsführer at Purax GmbH; Geschäftsführender Gesellschafter at Victualien Handels GmbH,Management
Sales Director EMEA at Delrin,Director
Geschäftsführender Gesellschafter at ALTTURBO GmbH,Management
Verkaufsleiter at argon lighting GmbH,Lead
Chief Executive Officer at Lufthansa Technik Services India Pvt Ltd,Management
Senior Program Manager at RINA North America (formerly Patrick),Professional
Independent Advisor to Founders and Funds at andwin Ltd.,Management
Coordinador integral servicios generales at aseocolba,Lead
CST at PAE Technical Services GmbH,Professional
R&D group manager at Fraunhofer IPMS; Research Associate and Project Manager at Fraunhofer IPMS,Management
Klinischer Psychologe at Psychologie.8; Klinischer Psychologe at Schweizer Haus Hadersdorf,Professional
Software Developer at SSingularity Technologies,Professional
COO (Geschäftsführende Gesellschafterin) at LegalTegrity; ada Fellow at ada,Management
Geschäftsführender Gesellschafter at ikonda GmbH,Management
Geschäftsführer at Klinik Bavaria GmbH & Co. KG Rehabilitationsklinik Bad Kissingen,Management
Expat Jumbo Operator at Face Mining Services,Professional
Geschäftsführer at Agentur für Kunstvermittlung GmbH,Management
Retired at ;-); CEO; Shareholder at IIC GmbH,Management
Application Specialist at BMG LABTECH,Professional
porject manager at Olíudreifing,Professional
"Head Public and Governmental Affairs, Pricing and Reimbursement at Alcon Laboratories, Inc.",Lead
Executive Director / Head of UN Advocacy at International Campaign for Tibet,Management
Project V&V Manager at Alstom,Professional
Rechtsanwalt | Counsel at Hausfeld,Professional
Indigenous Counsellor & Case Manager - Niiwin Wendaanimak at Parkdale Queen West Community Health Centre,Professional
Bauleiter at Köster GmbH,Lead
Amministrazione at Centro diagnostico Pasteur,Professional
Head of Customer Sales Service & Sales Controlling at Graphic Packaging International - Europe,Lead
gerant at rst,Management
Engineering Manager at ERCO,Management
Referatsleiter at Nds. Ministerium für Wissenschaft und Kultur,Lead
Retired but still active and interested in Optics Development and Metrology at No Company,Professional
Sales Consultant - Business Application at Microsoft,Professional
Senior Technical Consultant at Medtronic,Senior
Nurse Practitioner at Cleveland Clinic Connected Care,Professional
Packhouse Managing consultant at Kamps Sperziebonen,Professional
Verwaltungsrat at 21iLAB; Chairman of the Board of Directors at Kaiser Partner Financial Advisors Ltd.; CEO at Kaiser Partner Privatbank AG,Director
Development Manager at GOLDBECK,Management
Vertriebsspezialist at Sto SE & Co. KGaA,Professional
Rechtsanwalt at Freiberuflich,Professional
"Business Owner at Bruck, Inc",Management
HW-Developer BU Motion at B&R Industrial Automation,Professional
Head of Organization Projects and Facility Operations at Atlas Copco Holding GmbH,Lead
Landwirtschaftsmeister at Selbständig,Professional
Head of Global Life Products at ERGO Group AG,Lead
Investor at Benno Therapeutics; Investor at Cellab - CDMO; Investor at CimCure B.V.; Investor at Neurocast; Investor at Omnio AB; Founder at Reunion Capital; Professor at Amsterdam UMC,Management
Geschäftsführer at Muldental Elektronik GmbH,Management
Executive Assistant to the President at HICO CANADA INC.,Management
Professor at Hochschule für angewandte Wissenschaft und Kunst,Professional
Partner at Freshfields Bruckhaus Deringer,Management
Webentwickler at Nolis GmbH,Professional
Director Construction & Engineering at GreenGaraGe GmbH; Geschäftsführender Inhaber at Baum Consulting Ingenieur Büro,Director
Dekanatsrätin at Westsächsische Hochschule Zwickau,Professional
Mitarbeiter Produktmanagement at KIX Service Software GmbH,Junior
Manager | Prokurist | Strategie- und Managementberatung Financial Services at KPMG Deutschland,Management
Head of Development at Fish Corb Films; Part Time lecturer in Principles of writing and in Mythology at University of Malta; Development director / scriptwriter at Drunken Angel Films,Director
Manager at OBSS,Management
Chairman of the Board at Alteams Oy; Independent Consultant at Jofin Consulting Oy,Management
Stammdatenmanager R&D ENGINEERING / R&D at AL-KO Vehicle Technology Group,Professional
aktiver Gesellschafter at Binder Gruppe; aktiver Gesellschafter at egf Manufaktur,Management
"Leiter Produktion / Mitinhaber at Erich Keller AG - Innenausbau, Design + Technik; Leiter Produktion at Erich Keller AG - Innenausbau, Design + Technik",Lead
Senior Manager at Seller Ventures,Senior
Head of Information Technology at NYSE,Lead
President at Benchmark Foam Inc,Management
Senior Brand Manager at Rust-Oleum Canada,Senior
Weinbautechniker at Winzer,Professional
Leiter Instandhaltung at Lipoid GmbH,Lead
Salesman at Saottini Auto,Professional
Senior Human Resources Manager at SS&C Technologies,Senior
Bankkaufmann at Sparkasse Schaumburg; Direktor at Sparkasse Schaumburg,Director
Influencer Marketing Executive at KatKin,Professional
Unternehmensinhaber at Orthosteo Praxis,Management
Vizepräsident Junior at Woody-Display,Management
Prokurist / Direktor Touristik at DERTOUR Austria GmbH,Management
Kipper -Spedition at Gärtner Transporte,Professional
Pedagoga at Escola de Educação Infantil João e Maria,Professional
Behavioral Health Clinician at Butte County Behavioral Health,Professional
Owner at Media Solutions,Management
Web Developer at Superweb LLP,Professional
Manager Custom Solutions at Hansgrohe Group,Professional
Responsable Développement Automotive at Tempo one,Lead
Projektmanager strat. BK E/E Infrastruktur at BMW Group,Professional
Responsable de projet marketing et communications at ILODECO,Professional
Leiter Fachbereich IT Security & Engineering at SWICA Krankenversicherung AG,Lead
Geschäftsführung at W+V Schweizer Immobilienvermittlungs GmbH; Vermittlung und Verrentung von Immobilien at BVFI - Bundesverband für die Immobilienwirtschaft; Geschäftsführung at W+V Schweizer-Immobilien GmbH,Management
Approvisionneuse Bilingue at MANUFACTURE FRANCAISE DU CYCLE,Professional
Digital Product Owner at Doka,Professional
Head of Legal at Stellantis Germany GmbH,Lead
Receptionist at Van Cleef & Arpels,Professional
Retail Director DACH at S.OLIVER GROUP,Director
Chief Executive Officer at Varme og Kulde AS; Prosjektleder at Alpha Entreprenør AS,Management
General Manager at F. Bosch Medizintechnik Germany,Management
Storage King USA at Storage King USA; ****** **** ******* at ****** **** *******; ****** ******* at ****** *******,Professional
Purser at Lufthansa,Professional
Vorstandsvorsitzender at LAG Inklusionsfirmen Hessen e. V.; Stellvertretender Geschäftsführer at Frankfurter Verein für soziale Heimstätten e.V.; Bereichsleiter Arbeit | Bildung | Inklusion at Frankfurter Verein für soziale Heimstätten e.V.; Geschäftsführer at kombinat gGmbH; Vorstandsmitglied at GDW Genossenschaft der Werkstätten Mitte eG,Management
Associate | M&A at PwC Deutschland,Professional
VP - Talent Acquisition & People & Culture(HR) at HighRadius; Vice President - Talent Experience at HighRadius,Management
Partner at Andersch,Management
Senior Vice President R&D at WashTec AG,Management
Hotelier/Gastronom at Hotel-Gaststätte Mutter Buermann,Professional
Industriereiniger at Lobbe,Professional
CEO at Garden of Concepts GmbH; IT-Consultant & Solution Architekt at ERWEKA GmbH,Management
Qualified Person at Oncotec Pharma Produktion GmbH,Professional
Senior Vice President Global Supplier Management at PALFINGER Group,Management
Sr. International Agent at FedEx,Senior
Manager- Hr Ops & Talent Acquisition at Parangat Technologies,Management
CEO at PaxAn®; Geschäftsführer at robert obermeyer consulting GmbH,Management
Production Engineer at VERWO AG,Professional
Quality Engineering Manager at Fluke Corporation,Management
Service Manager at All for One Steeb AG,Management
Vertriebsleiter at OÖNachrichten,Lead
Produktmanager at Erwin Renz Metallwarenfabrik GmbH & Co KG,Professional
Partner und Inhaber at cr Werbeagentur AG,Management
"Senior Advisor at US Trade Consult, LLC.; Unternehmensberater, Trainer, Coach, Publizist at Consulting&Relations",Senior
Hockey Coach at HK Spartak Dubnica nad Vahom; Head Coach at Nes IK,Lead
Quality Assurance Manager / Quality Contract Managment / GMP Auditor at Siegfried Hameln,Management
SVP Transformation & Strategy at Drooms,Management
Stagiaire chaîne logistique at Laforge holcim,Junior
"Director, Sales Unit Benelux at Uponor GmbH",Director
Strategischer Einkäufer at Deutsches Zentrum für Luft-und Raumfahrt e.V.,Professional
VP Market Intelligence - Business Development - Sales at Atlas Copco,Management
Director / Project implementation Manager at Outotec,Director
"Aktionär at Swiss-Canna Group AG; Beratungsexperte Verwaltungsrat at Chemie AG Bern; Produzent und Lizensen at RAMA Holding AG www.arseptum.ch Desinfektion mit Langzeit, Hygiene der Zukunft; Geschäftsinhaber at Arsept-Suisse GmbH; Institution Sport at Rennstall Belar Grande / Gestüt Seebach Elsass; Geschäftsinhaber Import Export at Arnold Feuerwerke",Senior
Werkstudent Facheinkauf Interieur at BMW Group,Junior
Account Director at GKN Driveline,Director
Head teacher in art at Sigtuna folkhögskola; Founder at Dovo,Management
Chef at Verlag Reinhard Wagner,Management
Geschäftsführer at WISAG Passage Service Düsseldorf GmbH & Co. KG; Geschäftsführer at ASG Airport Service Gesellschaft mbH; Geschäftsführer at WISAG Ground Service GmbH & Co. KG Ndl. Düsseldorf; Geschäftsführer at WISAG Losch Passage Service Köln GmbH & Co. KG,Management
General Manager at BOTTERO GmbH,Management
Spa Concierge at Woodhouse,Professional
Geschäftsführender Gesellschafter at neusta marketing GmbH; Unternehmer at krannich.de,Management
Account-Manager at Nestler Wellpappe GmbH,Professional
Head of Digital Radio Design at Ericsson,Lead
Assistent at Amaris Zorggroep,Junior
Polizistin at Polizei Oberes Fricktal,Professional
Managing Partner at FINVIA; Geschäftsführer at FINVIA,Management
Global Product Marketing Manager at Dotdigital,Professional
Leiter Kundendienst at MARAG Garagen AG,Lead
Rentner at Orientierung: M,Professional
Geschäftsführer at orfix International GmbH,Management
Produktingenieur at Spherea GmbH,Professional
Geschäftsleiter at BIGA Energie GmbH & Co. KG,Lead
Marketing at Matica Technologies AG,Professional
Vorstand / CEO bei Eberhard AG at Eberhard AG; Geschäftsführer at Eberhard s.r.o.,Management
Projektingenieur at Muhsau Kindl Ingenieurgesellschaft mbH,Professional
Managing Partner at MDW Capital Partners LLP; Chairman at EA-RS Group Ltd; NED at GainX; Trustee and Vice Chair at Down's South London,Management
Geschäftsführender Gesellschafter at GfA-DICHTUNGEN GMBH,Management
"SVP 3DS-Solutions CENIT Group at KEONYS; COO, Keonys Group at KEONYS",Management
Senior Vice President APAC at Venus Concept,Management
CEO Co-owner at Planet-A-Mor; Company Owner at CCC Climate Change Consulting; COO at CCC. Climate Change Consulting; Consultant CEO and owner at C.C.C. Climate Change Consulting LLC,Management
Business Strategy Consultant at Accenture,Professional
Managing Director at UTILITY PARTNERS Operations; Member of The Supervisory Board at UTILITY PARTNERS GmbH,Management
Recreation Manager at Tahoe Donner Association; Instructor at Tahoe Donner Association; Sportsience and Personaltrainer at Heikoach.com,Management
Stiftungsrat at Fair Recycling Foundation,Professional
Leiter Kalkulation at Eiffage Infra-Ost GmbH,Lead
Projektplaner at Sto SE & Co. KGaA,Professional
Senior Manager at MorganFranklin Consulting,Senior
Information Technology Specialist -ITCS at Hyatt Hotels Corporation,Professional
Geschäftsführender Inhaber at auxilion AG,Management
Gebietsverkaufsleiterin Implantologie & Prothetik at ZERAMEX,Lead
Vice President at Toshiba Memory Europe GmbH (TME),Management
Senior Vice President at SFC Energy AG,Management
Platin at WorldStyle Media,Professional
Insan kaynakları at Trend,Professional
Geschäftsführer at Soundart,Management
Executive Partner Development Manager at Huawei,Professional
"Departementssekretär / Leiter Amt für Militär und Bevölkerungsschutz at Justiz-, Polizei- und Militärdepartement Kanton Appenzell I.Rh; Dozent at Fachhochschule Nordwestschweiz FHNW",Lead
Geschäftsführer at PDO Europe GmbH,Management
CEO at Batterman Consulting,Management
Partner at Bridgged,Management
Chief Executive Officer at ManageCasa Inc.; Startup Advisor at (Startup),Management
Arbeitssuche at Bewerbungsphase,Professional
Selbstständig at Selbstständig,Professional
Owner at SPOCS GmbH www.spocs.eu; Managing Director at SPOCS sports consultants GmbH,Management
Head of Global Competence Center MO/BO/Acc Business Analysis at UniCredit Business Integrated Solutions,Lead
Alleiniger Vorstand at EJF gemeinnützige AG,Management
Senior Software Engineer at Math2Market GmbH,Senior
"Owner - Executive Director at Chikara Fitness 株式会社; Seminar Staff at CrossFit, Inc.",Management
Projektleiter at Aurubis,Lead
Leiter Program Management RADAR at Continental,Lead
Immobilien-und Finanzmakler at capital-S- Immobilien; Geschäftsführer at capital-S-Immobilien,Management
Pharmacy Sales Representative at Bayer,Professional
Bereichsleiter Finanzen und Rechnungswesen at SachsenEnergie AG; Bereichsleiter Rechnungswesen und Finanzen at DREWAG Stadtwerke Dresden GmbH,Lead
Warehouse Specialist at Royal Design Group Holding AB,Professional
"Geschäftsleitung, Prokurist at Leop. Siegle GmbH & Co. KG; Rechtsanwalt at Selbstständig",Management
Sales Manager at Guild Mortgage,Management
Industrial Engineer at PI (Physik Instrumente) Group,Professional
Pflegedienstleitung at Pflege & Seniorenwohnen Ammertal,Lead
Principal Consultant at Lindner Corporation,Senior
"Projektexperte Sicherheit, Geschäftsleitung at EPRO SECURE",Lead
Owner at Silt Sock Erosion Control Products,Management
Solution Designer at K-Businesscom AG,Professional
Founder -Owner at TransatlantiX,Management
Human Resources Manager at TaxNetworkUSA,Management
Einkauf at Bilfinger Maintenance GmbH; Einkäufer Werkleistungen/Diestleistugen at Bilfinger Maintenance GmbH,Professional
Selbstständig at Selbstständig Gesund,Professional
Regional Manager at R.A. Snyder Properties,Management
Head of Hybrid Cloud Solution Sales Germany at Hewlett Packard Enterprise; Head of HPE Boeblingen Office at Hewlett Packard Enterprise,Lead
Director - Global Banking at BNP Paribas CIB,Director
Doctoral Student at ETH Zürich,Management
Project Manager at Nestlé; Project Manager Entwicklung /Lebensmittel at Nestle,Professional
Consultant at Freiberuflich,Professional
Justitiar at Verlagsgruppe Random House; General Counsel / Leiter Rechtsabteilung at Random House,Lead
Team Lead Business Services at Heel,Lead
CEO & Co-founder at SitePlan GmbH,Management
Juristischer Berater at Euler Hermes Deutschland,Professional
"Leitung Personal, Finanzen, Einkauf, IT | Folkwang Universität der Künste at Folkwang Universität der Künste",Lead
